latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
40.394386,-105.070584,Lightning eMotors,HQ and Manufacturing Facility,Loveland,CO,"HQ and Manufacturing Facility, Loveland, CO",Medium-Duty (Class 3-6),EV manufacturing,TRUE
35.7049312,-89.970063,Envirotech Vehicles,Osceola Manufacturing Facility,Osceola,AR,"Osceola Manufacturing Facility, Osceola, AR",Medium-Duty (Class 3-6),EV manufacturing,TRUE
44.052153,-123.091195,Arcimoto,RAMP Facility,Eugene,OR,"RAMP Facility, Eugene, OR",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.6138758,-90.0349356,Nissan,Canton Factory,Canton,MS,"Canton Factory, Canton, MS",Light-Duty (Class 1-2),EV manufacturing,TRUE
33.834492,-117.915638,GEM,Anaheim Manufacturing Facility,Anaheim,CA,"Anaheim Manufacturing Facility, Anaheim, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
38.361263,-81.695596,GreenPower Motors,West Virginia Facility,South Charleston,WV,"West Virginia Facility, South Charleston, WV",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
39.067067,-84.090871,Pegasus Specialty Vehicles,Ohio Remanufacturing Facility,Dunkirk,OH,"Ohio Remanufacturing Facility, Dunkirk, OH",Medium-Duty (Class 3-6),EV manufacturing,TRUE
40.512715,-75.549535,Mack Trucks,Macungie Assembly Plant,Macungie,PA,"Macungie Assembly Plant, Macungie, PA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
36.3071316,-95.314464,Canoo,MegaMicro Factory,Pryor,OK,"MegaMicro Factory, Pryor, OK",Multiple Classes,EV manufacturing,TRUE
33.656194,-83.718567,Rivian,Georgia Manufacturing Plant,Social Circle,GA,"Georgia Manufacturing Plant, Social Circle, GA",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.0633,-117.6509,Cenntro Automotive,Jacksonville Factory,Jacksonville,FL,"Jacksonville Factory, Jacksonville, FL",Medium-Duty (Class 3-6),EV manufacturing,TRUE
40.796402,-73.068675,Unique Electric Solutions,Holbrook Repowering Manufacturing Facility,Holbrook,NY,"Holbrook Repowering Manufacturing Facility, Holbrook, NY",Multiple Classes,EV manufacturing,TRUE
34.846247,-90.294518,Mullen Automotive,Advanced Manufacturing and Engineering Center,Tunica Resorts,MS,"Advanced Manufacturing and Engineering Center, Tunica Resorts, MS",Multiple Classes,EV manufacturing,TRUE
36.357403,-94.199063,Canoo,Canoo R and D Center,Bentonville,AR,"Canoo R and D Center, Bentonville, AR",Medium-Duty (Class 3-6),EV manufacturing,TRUE
38.25752,-84.547617,Toyota,Toyota Motor Manufacturing Kentucky,Georgetown,KY,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.019149,-84.05024,Endera,Metro Titan Bus Factory,Ottawa,OH,"Metro Titan Bus Factory, Ottawa, OH",Medium-Duty (Class 3-6),EV manufacturing,TRUE
32.879546,-111.74758,Lucid Motors,AMP-1,Casa Grande,AZ,"AMP-1, Casa Grande, AZ",Light-Duty (Class 1-2),EV manufacturing,TRUE
35.464095,-89.402431000000007,Ford,BlueOval Tennessee Truck Plant,Stanton,TN,"BlueOval Tennessee Truck Plant, Stanton, TN",Light-Duty (Class 1-2),EV manufacturing,TRUE
