"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price"
"Alliance Data Systems","Plano","Texas","Collin",33.0198431,-96.6988856,541940
"Berry Global","Evansville","Indiana","Vanderburgh",37.9789909,-87.5726435,218440
"Fidelity National Information Services","Jacksonville","Florida","Duval",30.3321838,-81.655651,339790
"Tractor Supply Company  Brentwood",NA,"Tennessee","Williamson",36.0322969,-86.8128372,888220
"Zimmer Biomet Warsaw",NA,"Indiana","Kosciusko",41.2405012,-85.8838898,269650
"Conagra Brands","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630
"Foot Locker","New York","New York","New York",40.7551834,-73.9863177,1172110
"Dick’s Sporting Goods",NA,"Pennsylvania","Allegheny",40.5184013,-80.1667247,254090
"Fifth Third Bank","Cincinnati","Ohio","Hamilton",39.1669811,-84.4114303,283180
"Eversource",NA,"Massachusetts","Norfolk",42.2029952,-71.1596834,754290
"Cheniere Energy Inc","Houston","Texas","Harris",29.7601536,-95.3653756,306470
"National Oilwell Varco",NA,"Texas","Williamson",30.4899915,-97.8276561,466650
"Auto-Owners Insurance","Lansing","Michigan","Eaton",42.7218607,-84.6384575,251950
"Erie Insurance Arena","Erie","Pennsylvania","Erie",42.1280011,-80.0808889,218730
"Jones Financial (Edward Jones)",NA,"Missouri","St. Louis",38.6008862,-90.4328968,312860
"Liberty Media Corporation",NA,"Colorado","Douglas",39.553121,-104.846177,748570
"Frontier Communications","Norwalk","Connecticut","Western Connecticut Planning Region",41.117744,-73.4081575,NA
"Levi's Store","San Francisco","California",NA,37.7852456,-122.4061345,NA
"J.B. Hunt Transport Services",NA,"Arkansas","Benton",36.2447313,-94.1494438,403390
"Peabody Energy","Saint Louis","Missouri",NA,38.626689,-90.1925651,NA
"Western Union","Denver","Colorado",NA,39.7402176,-104.9759495,NA
"UNIVAR",NA,"Illinois","DuPage",41.8089191,-88.0111746,435690
"WESTLAKE CHEMICAL","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"Thrivent Financial for Lutherans","Minneapolis","Minnesota","Hennepin",44.977753,-93.2650108,407520
"Rockwell Collins","West Palm Beach","Florida","Palm Beach",26.7153424,-80.0533746,521590
"Campbell Soup Company","Camden","New Jersey","Camden",39.9390315,-75.1080212,352080
"WILLIAMS","Tulsa","Oklahoma","Tulsa",36.1539816,-95.992775,268610
"Veritiv Corporation",NA,"Georgia","Gwinnett",33.929775,-84.2512483,433860
"GameStop",NA,"Texas","Tarrant",32.9342919,-97.0780654,350700
"Navient","Wilmington","Delaware","New Castle",39.7382681,-75.559152,391290
"Simon Property Group","Indianapolis","Indiana","Marion",39.7669989,-86.1621681,250140
"Williams-Sonoma","San Francisco","California",NA,37.7886383,-122.4074984,NA
"Yum Brands","Louisville","Kentucky","Jefferson",38.2526647,-85.7584557,266760
"Windstream Holdings Little Rock","Little Rock","Arkansas","Pulaski",34.7464809,-92.2895948,243290
"Hilton Worldwide Holdings",NA,"Virginia","Fairfax",38.9338676,-77.1772604,782680
"Harley-Davidson Museum","Milwaukee","Wisconsin","Milwaukee",43.0316706,-87.9165244,270080
"First American Financial","Santa Ana","California","Orange",33.702007,-117.860141,1057230
"Air Products & Chemicals","Allentown","Pennsylvania","Lehigh",40.6022939,-75.4714098,354850
"TreeHouse Foods",NA,"Illinois","DuPage",41.8494532,-87.9473067,435690
"Fiserv",NA,"Wisconsin","Waukesha",43.0338095,-88.1409438,461590
"Zoetis Inc.",NA,"New Jersey","Morris",40.8470715,-74.4447772,677650
"Brighthouse Financial","Charlotte","North Carolina","Mecklenburg",35.2270869,-80.8431267,471910
"Ingredion",NA,"Illinois","Cook",41.8453955,-87.9052856,357630
"ON Semiconductor","Phoenix","Arizona","Maricopa",33.4636186,-111.9701255,488740
"","New York","New York","New York",40.7127753,-74.0059728,1172110
"Tapestry","New York","New York","New York",40.7127753,-74.0059728,1172110
"Peter Kiewit Sons’","Omaha","Nebraska","Douglas",41.2565369,-95.9345034,300310
"NetApp","Sunnyvale","California","Santa Clara",37.4149198,-122.0095976,1558540
"Intuit","Mountain View","California","Santa Clara",37.4283625,-122.097623,1558540
"Old Republic International Corporation","Chicago","Illinois","Cook",41.887068,-87.6241579,357630
"Graphic Packaging International","Augusta","Georgia","Richmond",33.327532,-81.954097,213950
"AVIS",NA,"New Jersey","Morris",40.867239,-74.4229417,677650
"Vistra/TXU Energy Corporate Office","Irving","Texas","Dallas",32.898375,-96.9642376,329370
"Hd Supply Holdings Inc","Atlanta","Georgia","Cobb",33.8772177,-84.4728859,464530
"Realogy Holdings Corp.",NA,"New Jersey","Morris",40.7716197,-74.4231855,677650
"Clorox Co","Oakland","California","Alameda",37.8035821,-122.2721165,1108180
"Polaris Industries Inc",NA,"Minnesota","Hennepin",45.057507,-93.5765367,407520
"Booz Allen Hamilton Inc",NA,"Virginia","Fairfax",38.9218202,-77.2319233,782680
"L3Harris Technologies: Communication Systems-West","Salt Lake City","Utah","Salt Lake",40.7835097,-111.9527848,599530
"Ralph Lauren New York","New York","New York","New York",40.7715155,-73.9653656,1172110
"Analog Devices",NA,"Massachusetts","Norfolk",42.2104866,-71.1806236,754290
"Post Holdings Inc",NA,"Missouri","St. Louis",38.6165266,-90.334968,312860
"S and P Global","New York","New York","New York",40.7499719,-73.9921676,1172110
"Intercontinental Exchange","Atlanta","Georgia","Fulton",33.9088822,-84.4307488,514220
"Ameren Corporation","Saint Louis","Missouri",NA,38.6224443,-90.2095588,NA
"Franklin Templeton Investments","San Mateo","California","San Mateo",37.5437749,-122.2942274,1601600
"iHeartMedia San Antonio","San Antonio","Texas","Bexar",29.6476256,-98.4542381,289900
"NCR Global","Atlanta","Georgia","Fulton",33.7791502,-84.3896015,514220
"Beacon Roofing Supply Inc",NA,"Virginia","Fairfax",38.9634821,-77.3815185,782680
"ABM Industries","New York","New York","New York",40.7127753,-74.0059728,1172110
