"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"French King Solar LLC","French King Solar LLC","Erving","Massachusetts","solar",5,-72.4895,42.5945
"DOCCS Greene","Green Correctional Coxsackie NY Solar LLC","Coxsackie","New York","solar",5,-73.85,42.35
"Americus","Today's Power, Inc.","Emporia","Kansas","solar",1,-96.150916,38.551473
"Ashley-Chicot Solar","Today's Power, Inc.","Hamburg","Arkansas","solar",1,-91.922427,33.250828
"Berryville School District Solar","Today's Power, Inc.","Berryville","Arkansas","solar",1,-93.58618,36.37342
"C&L","Today's Power, Inc.","Star City","Arkansas","solar",1,-91.828323,34.075486
"Cheney Solar","Today's Power, Inc.","Cheney","Kansas","solar",1,-97.71672,37.623563
"ERDC","Entergy Texas Inc.","Vicksburg","Mississippi","natural gas",3.2,-90.859867,32.3103
"HEB00048","Entergy Texas Inc.","Beaumont","Texas","natural gas",1.2,-94.170414,30.106498
"HEB00594","Entergy Texas Inc.","The Woodlands","Texas","natural gas",1.2,-95.538096,30.178935
"FTBLID2","Generate ER-NG, LLC","Sugarland","Texas","natural gas",11.2,-95.636882,29.575316
"Praxair","Generate ER-NG, LLC","Clute","Texas","natural gas",1.2,-95.388434,29.004862
"RavenChem","Generate ER-NG, LLC","Baytown","Texas","natural gas",3.2,-94.913987,29.820648
"Baldy Mesa Solar & Storage","AES Clean Energy","Adelanto","California","solar",225,-117.454264,34.609183
"Bushy Park Combustion Turbine Facility","Dominion Energy South Carolina, Inc","Goose Creek","South Carolina","natural gas",42,-79.930045,33.014915
"Beckwith Solar","Beckwith Solar, LLC","Tabor City","North Carolina","solar",5,-78.89158,34.151927
"IGS OXR1","Greenbacker Renewable Energy Corporation","Oxnard","California","solar",4.8,-119.129688,34.212521
"Remy Jade Power Station","ProEnergy Services","Crosby","Texas","natural gas",356,-95.016398,29.848372
