"Company","City","State","County","Latitude","Longitude"
"COTY","New York","New York","New York",40.7127753,-74.0059728
"Ascena Retail Group Inc (ASNA)",NA,"New Jersey","Bergen",41.0738813,-74.171283
"Pioneer Natural Resources Company","Irving","Texas","Dallas",32.8712639,-96.9388561
"Marathon Oil","Houston","Texas","Harris",29.7493564,-95.4715705
"First Data","New York","New York","New York",40.7127753,-74.0059728
"Seaboard Corporation Shawnee Mission",NA,"Kansas","Johnson",39.0081599,-94.690957
"Hertz Global Holdings",NA,"Florida","Lee",26.438136,-81.8067523
"Chemours","Wilmington","Delaware","New Castle",39.744655,-75.5483909
"Northern Trust","Chicago","Illinois","Cook",41.8815778,-87.6325811
"Calpine","Houston","Texas","Harris",29.7604267,-95.3698028
"Rockwell Automation","Milwaukee","Wisconsin","Milwaukee",43.0185625,-87.9133706
"O'Reilly Auto Parts Distribution Center",NA,"Minnesota","Hennepin",45.0748278,-93.3737396
"Burlington Stores",NA,"New Jersey","Burlington",40.071222,-74.8648873
"Hormel Foods",NA,"Minnesota","Mower",43.6666296,-92.9746367
"Altice USA",NA,"New York","Suffolk",40.789142,-73.134961
"Regeneron Pharmaceuticals",NA,"New York","Westchester",41.0767773,-73.8263889
"Ulta Beauty",NA,"Illinois","Will",41.6986416,-88.0683955
"Advance Auto Parts","Raleigh","North Carolina","Wake",35.7795897,-78.6381787
"Wynn Resorts","Las Vegas","Nevada","Clark",36.1265953,-115.1653652
"Regions Financial","Birmingham","Alabama","Jefferson",33.5185892,-86.8103567
"Mosaic",NA,"Minnesota","Hennepin",45.0105194,-93.4555093
"Wayfair","Boston","Massachusetts","Suffolk",42.347118,-71.078357
"RR Donnelley and Sons","Chicago","Illinois","Cook",41.8781136,-87.6297982
"PVH","New York","New York","New York",40.7127753,-74.0059728
"Hanesbrands","Winston-Salem","North Carolina","Forsyth",36.0911416,-80.2851295
"Public Service Enterprise Group","Newark","New Jersey","Essex",40.7370367,-74.1680642
"AK Steel Holding",NA,"Ohio","Tuscarawas",40.2339147,-81.3445012
"Interpublic Group of Companies","New York","New York","New York",40.7583114,-73.9679267
"","New York","New York","New York",40.7581073,-73.9726262
"Markel Corporation",NA,"Virginia","Henrico",37.661594,-77.576847
"Autoliv Americas",NA,"Michigan","Oakland",42.6944224,-83.274261
"CMS Energy","Jackson","Michigan","Jackson",42.2466617,-84.4022463
"Asbury Automotive Group",NA,"Georgia","Gwinnett",34.0051075,-84.0933453
"DCP Midstream Partners LP","Denver","Colorado",NA,39.743468,-104.9885753
"Owens-Illinois",NA,"Ohio","Wood",41.5285372,-83.6479919
"Alleghany Corporation","New York","New York","New York",40.7542881,-73.9876105
"Boston Scientific Corporation","Marlborough","Massachusetts","Middlesex",42.3611457,-71.5615488
"MasTec Network Solutions",NA,"Florida","Miami-Dade",25.7632876,-80.2567796
"Xerox","Norwalk","Connecticut","Western Connecticut Planning Region",41.117744,-73.4081575
"Arthur Gallagher Rolling Meadows",NA,"Illinois","Cook",42.0535852,-88.0168425
"Olin Corporation",NA,"Missouri","St. Louis",38.6482951,-90.333205
"Owens & Minor",NA,"Virginia","Hanover",37.6087561,-77.3733139
"Travelcenters of America",NA,"Ohio","Cuyahoga",41.4553232,-81.9179173
"Sonic Automotive","Charlotte","North Carolina","Mecklenburg",35.1767046,-80.7969848
"Packaging Corp of America",NA,"Illinois","Lake",42.2586342,-87.840625
"Mohawk Industries",NA,"Georgia","Gordon",34.502587,-84.9510542
"Owens Corning","Toledo","Ohio","Lucas",41.6461679,-83.5342454
"Republic Services","Phoenix","Arizona","Maricopa",33.4483771,-112.0740373
"Insight Enterprises","Tempe","Arizona","Maricopa",33.3422522,-111.9527302
"Sanmina Corporation","San Jose","California","Santa Clara",37.390754,-121.930046
