Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
97001278,,ROSEWAY (schooner),Listed,Single,FALSE,0.9, ARCHITECTURE; MARITIME HISTORY; MILITARY; COMMERCE,SITE,MASSACHUSETTS,Suffolk,Boston,Boston Harbor,,9/25/97,9/25/97, PILOT SCHOONER ROSEWAY,,97001278
06000236,,"Rotch, William J., Gothic Cottage",Listed,Single,FALSE,0.9, ARCHITECTURE,BUILDING,MASSACHUSETTS,Bristol,New Bedford,19 Irving St.,https://catalog.archives.gov/id/63793651,2/17/06,2/17/06, See also: County Street Historic District,,06000236
05000456,,"Rotch, William Jr., House",Listed,Single,FALSE,,,BUILDING,MASSACHUSETTS,Bristol,New Bedford,396 County Street,https://catalog.archives.gov/id/63793655,4/5/05,4/5/05,,,05000456
66000786,,"Royall, Isaac, House",Listed,Single,FALSE,2, ARCHITECTURE,BUILDING,MASSACHUSETTS,Middlesex,Medford,15 George St.,https://catalog.archives.gov/id/63793721,10/15/66,10/9/60,,,66000786
75001942,,"Rumford, Count, Birthplace",Listed,Single,FALSE,0.9, SCIENCE,BUILDING,MASSACHUSETTS,Middlesex,Woburn,90 Elm St.,https://catalog.archives.gov/id/63793785,5/15/75,5/15/75, Rumford House,,75001942
100009826,NL,Sampson-White Joiner Shop,Listed,NHL,FALSE,, ENGINEERING; AGRICULTURE,,MASSACHUSETTS,Plymouth,Duxbury,267 Winter Street,,,12/11/23,,,100009826
100009827,SG,Sampson-White Joiner Shop,Listed,Single,FALSE,, ENGINEERING; AGRICULTURE,,MASSACHUSETTS,Plymouth,Duxbury,267 Winter Street,,,12/11/23,,,100009826
66000047,AD,Saugus Iron Works National Historic Site,Listed,Add.Doc.,FALSE,8.5, INDUSTRY; ENGINEERING; ARCHITECTURE,DISTRICT,MASSACHUSETTS,Essex,Saugus,244 Central St.,,10/15/66,11/27/63, Hammersmith,Saugus Iron Works,66000047
70000731,,"Sears, David, House",Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,42 Beacon St.,https://catalog.archives.gov/id/63793831,12/30/70,12/30/70, Somerset Club,,70000731
70000732,,"Sever Hall, Harvard University",Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,Harvard Yard,https://catalog.archives.gov/id/63793731,12/30/70,12/30/70,,,70000732
66000787,,Shirley-Eustis House,Listed,Single,FALSE,0.3, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Roxbury,31-37 Shirley St.,https://catalog.archives.gov/id/63793825,10/15/66,10/9/60,,,66000787
68000043,,Spencer-Pierce-Little House,Listed,Single,FALSE,50, ARCHITECTURE,BUILDING,MASSACHUSETTS,Essex,Newbury,Little's Lane,https://catalog.archives.gov/id/63793681,11/24/68,11/24/68,,,68000043
