name,institution_type,latitude,longitude
"462. M&T Bank Buffalo, NY, USA",Fortune 500 HQ,43.02708690000001,-78.80044829999997
"461. HESS New York, NY, USA",Fortune 500 HQ,40.7127753,-74.0059728
"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",Fortune 500 HQ,37.3829254,-121.9703842
335. AGCO,Fortune 500 HQ,34.0028786,-84.14463760000001
"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA",Fortune 500 HQ,39.15036159999999,-84.47184149999998
"458. Dillard's, Little Rock AR, USA",Fortune 500 HQ,34.75346740000001,-92.34189630000004
334. COTY,Fortune 500 HQ,40.7127753,-74.0059728
"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA",Fortune 500 HQ,41.0738813,-74.17128300000002
"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",Fortune 500 HQ,32.8712639,-96.9388561
"456. Marathon Oil, Houston, TX, USA",Fortune 500 HQ,29.74935640000001,-95.47157049999998
332. First Data,Fortune 500 HQ,40.7127753,-74.0059728
"455. Seaboard Corporation Shawnee Mission, KS, USA",Fortune 500 HQ,39.0081599,-94.69095700000004
331. Hertz Global Holdings,Fortune 500 HQ,26.438136,-81.80675229999997
"454. Chemours, Wilmington, DE, USA",Fortune 500 HQ,39.74465499999999,-75.54839090000002
"453. Northern Trust, Chicago, IL, USA",Fortune 500 HQ,41.8815778,-87.63258109999998
330. Calpine,Fortune 500 HQ,29.7604267,-95.3698028
"452. Rockwell Automation, Inc., Milwaukee, WI, USA",Fortune 500 HQ,43.0185625,-87.91337060000001
"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA",Fortune 500 HQ,45.0748278,-93.37373960000002
"45. Burlington Stores, Burlington, NJ, USA",Fortune 500 HQ,40.071222,-74.86488729999996
328. Hormel Foods,Fortune 500 HQ,43.6666296,-92.97463670000002
327. Altice USA,Fortune 500 HQ,40.789142,-73.13496099999998
"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA",Fortune 500 HQ,41.0767773,-73.82638889999998
"449. Ulta Beauty, Bolingbrook, IL, USA",Fortune 500 HQ,41.69864159999999,-88.06839550000001
326. Advance Auto Parts,Fortune 500 HQ,35.7795897,-78.63817870000003
"448. Wynn Resorts,  Las Vegas, NV, USA",Fortune 500 HQ,36.1265953,-115.1653652
"447. Regions Financial, Birmingham, AL, USA",Fortune 500 HQ,33.5185892,-86.8103567
325. Mosaic,Fortune 500 HQ,45.01051939999999,-93.45550930000002
"446. Wayfair, Boston, MA, USA",Fortune 500 HQ,42.34711799999999,-71.07835699999998
"445. RR Donnelley and Sons, Chicago, IL, USA",Fortune 500 HQ,41.8781136,-87.62979819999998
324. PVH,Fortune 500 HQ,40.7127753,-74.0059728
"444. Hanesbrands, Winston-Salem, NC, USA",Fortune 500 HQ,36.0911416,-80.28512949999998
"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA",Fortune 500 HQ,40.7370367,-74.1680642
"443. AK Steel Holding, West Chester, OH, USA",Fortune 500 HQ,40.23391470000001,-81.34450119999997
"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA",Fortune 500 HQ,40.7583114,-73.96792670000002
"442, Blackstone Group LP New York, NY, USA",Fortune 500 HQ,40.7581073,-73.97262619999998
"441. Markel Corporation, Glen Allen, VA, USA",Fortune 500 HQ,37.661594,-77.57684699999999
"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA",Fortune 500 HQ,42.6944224,-83.27426100000002
"440. CMS Energy, Jackson, MI, USA",Fortune 500 HQ,42.2466617,-84.4022463
"439. Asbury Automotive Group, Premiere Duluth, GA, USA",Fortune 500 HQ,34.00510749999999,-84.09334530000001
"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA",Fortune 500 HQ,39.74346799999999,-104.98857529999998
"438. Owens-Illinois, Perrysburg, OH, USA",Fortune 500 HQ,41.5285372,-83.64799190000002
"437. Alleghany Corporation, Broadway, New York, NY, USA",Fortune 500 HQ,40.7542881,-73.98761050000002
"319. Boston Scientific Corporation, Boston Scientific Way, Marlborough, MA, USA",Fortune 500 HQ,42.3611457,-71.56154879999997
