state,city,theatre,built,seats,address,latitude,longitude
NY,Clayton,Clayton Opera House,1904,400,"Clayton Opera House, Clayton, NY",44.240844,-76.0885
NY,Elmira,Clemens Center,1925,1608,"Clemens Center, Elmira, NY",42.08942,-76.805259
NY,Geneva,Smith Opera House,1894,1438,"Smith Opera House, Geneva, NY",42.86707,-76.984068
NY,Gowanda,Gowanda's Historic Hollywood Theater,1926,990,"Gowanda's Historic Hollywood Theater, Gowanda, NY",42.463332,-78.936514
NY,Indian Lake,Indian Lake Theater,1937,220,"Indian Lake Theater, Indian Lake, NY",43.782191,-74.267121
NY,Johnson City,Goodwill Theatre,1920,1100,"Goodwill Theatre, Johnson City, NY",42.113325,-75.955597
NY,Lockport,Historic Palace Theatre,1925,1100,"Historic Palace Theatre, Lockport, NY",43.170544,-78.688195
NY,Lowville,Town Hall Theater,1899,687,"Town Hall Theater, Lowville, NY",43.7866414,-75.4909167
NY,New York,Belasco Theatre,1907,1016,"Belasco Theatre, New York, NY",40.756655,-73.9837919
NY,New York,Al Hirschfeld Theatre,1923,1422,"Al Hirschfeld Theatre, New York, NY",40.7592537,-73.9892
NY,New York,Ambassador Theatre,1921,1088,"Ambassador Theatre, New York, NY",40.761247,-73.9849896
NY,New York,August Wilson Theatre,1924,1275,"August Wilson Theatre, New York, NY",40.7633731,-73.9841934
NY,New York,Barrymore Theatre,1928,1058,"Barrymore Theatre, New York, NY",40.760107,-73.9861446
NY,New York continued,Bernard B. Jacobs Theatre,1927,1078,"Bernard B. Jacobs Theatre, New York continued, NY",40.758769,-73.987706
NY,New York continued,Booth Theatre,1913,766,"Booth Theatre, New York continued, NY",40.7583652,-73.9870937
NY,New York continued,Broadhurst Theatre,1917,1156,"Broadhurst Theatre, New York continued, NY",40.758269,-73.987617
NY,New York continued,Broadway Theatre,1924,1761,"Broadway Theatre, New York continued, NY",40.7634029,-73.9833729
NY,New York continued,Brooks Atkinson Theatre,1926,1082,"Brooks Atkinson Theatre, New York continued, NY",40.759981,-73.986952
NY,New York continued,Eugene O'Neill Theatre,1925,1102,"Eugene O'Neill Theatre, New York continued, NY",40.7610435,-73.9856382
NY,New York continued,Gerald Schoenfeld Theatre,1917,1079,"Gerald Schoenfeld Theatre, New York continued, NY",40.7587,-73.98736
NY,New York continued,Golden Theatre,1927,804,"Golden Theatre, New York continued, NY",40.75886,-73.98792
NY,New York continued,Imperial Theatre,1923,1443,"Imperial Theatre, New York continued, NY",40.75916,-73.98713
NY,New York continued,James Earl Jones Theatre,1912,1082,"James Earl Jones Theatre, New York continued, NY",40.7130466,-74.0072301
NY,New York continued,Longacre Theatre,1913,1091,"Longacre Theatre, New York continued, NY",40.7603381,-73.9859535
NY,New York continued,Lunt-Fontanne Theatre,1910,1509,"Lunt-Fontanne Theatre, New York continued, NY",40.75662,-73.98111
NY,New York continued,Lyceum Theatre,1903,922,"Lyceum Theatre, New York continued, NY",40.7578829,-73.984494
NY,New York continued,Majestic Theatre,1927,1645,"Majestic Theatre, New York continued, NY",40.7584154,-73.9880182
NY,New York continued,Metro Theater,1932,NA,"Metro Theater, New York continued, NY",40.79667,-73.97
NY,New York continued,Music Box Theatre,1920,1025,"Music Box Theatre, New York continued, NY",40.75883,-73.98748
NY,New York continued,Nederlander Theatre,1921,1232,"Nederlander Theatre, New York continued, NY",40.75559,-73.98823
NY,New York continued,Neil Simon Theatre,1927,1467,"Neil Simon Theatre, New York continued, NY",40.7630106,-73.9845245
NY,New York continued,New Amsterdam Theatre,1903,1812,"New Amsterdam Theatre, New York continued, NY",40.75611,-73.98778
NY,New York continued,Palace Theatre,1913,1708,"Palace Theatre, New York continued, NY",40.773683,-73.948538
NY,New York continued,Richard Rogers Theatre,1924,1382,"Richard Rogers Theatre, New York continued, NY",40.71427,-74.00597
NY,New York continued,Shubert Theatre,1913,1460,"Shubert Theatre, New York continued, NY",40.7581388,-73.9872563
NY,New York continued,St. James Theatre,1927,1710,"St. James Theatre, New York continued, NY",40.7579902,-73.9881542
NY,New York continued,Theatre 80,1964,161,"Theatre 80, New York continued, NY",40.705358548206,-74.01237591091
NY,New York continued,United Palace,1930,3327,"United Palace, New York continued, NY",40.846359,-73.93821
NY,New York continued,Walter Kerr Theatre,1921,947,"Walter Kerr Theatre, New York continued, NY",40.7607328,-73.9855521
